Valeurs lues      : 67584
Timestamps lus    : 68096
Date: 2026-05-04 14:37:42 | Valeur: -15573
Date: 2026-05-04 14:37:42 | Valeur: -16116
Date: 2026-05-04 14:37:42 | Valeur: -12744
Date: 2026-05-04 14:37:42 | Valeur: -11586
Date: 2026-05-04 14:37:42 | Valeur: -12317
Date: 2026-05-04 14:37:42 | Valeur: -11107
Date: 2026-05-04 14:37:42 | Valeur: -11886
Date: 2026-05-04 14:37:42 | Valeur: -13971
Date: 2026-05-04 14:37:42 | Valeur: -11968
Date: 2026-05-04 14:37:42 | Valeur: -14854
Date: 2026-05-04 14:37:42 | Valeur: -12548
Date: 2026-05-04 14:37:42 | Valeur: -10605
Date: 2026-05-04 14:37:42 | Valeur: -12146
Date: 2026-05-04 14:37:42 | Valeur: -12847
Date: 2026-05-04 14:37:42 | Valeur: -12826
Date: 2026-05-04 14:37:42 | Valeur: -14089
Date: 2026-05-04 14:37:42 | Valeur: -13308
Date: 2026-05-04 14:37:42 | Valeur: -12883
Date: 2026-05-04 14:37:42 | Valeur: -14811
Date: 2026-05-04 14:37:42 | Valeur: -10614
Date: 2026-05-04 14:37:42 | Valeur: -13038
Date: 2026-05-04 14:37:42 | Valeur: -11589
Date: 2026-05-04 14:37:42 | Valeur: -13810
Date: 2026-05-04 14:37:42 | Valeur: -16814
Date: 2026-05-04 14:37:42 | Valeur: -10705
Date: 2026-05-04 14:37:42 | Valeur: -11296
Date: 2026-05-04 14:37:42 | Valeur: -11396
Date: 2026-05-04 14:37:42 | Valeur: -11602
Date: 2026-05-04 14:37:42 | Valeur: -13356
Date: 2026-05-04 14:37:42 | Valeur: -12236
Date: 2026-05-04 14:37:42 | Valeur: -13354
Date: 2026-05-04 14:37:42 | Valeur: -13982
Date: 2026-05-04 14:37:42 | Valeur: -17781
Date: 2026-05-04 14:37:42 | Valeur: -12846
Date: 2026-05-04 14:37:42 | Valeur: -13298
Date: 2026-05-04 14:37:42 | Valeur: -11373
Date: 2026-05-04 14:37:42 | Valeur: -9662
Date: 2026-05-04 14:37:42 | Valeur: -13081
Date: 2026-05-04 14:37:42 | Valeur: -15680
Date: 2026-05-04 14:37:42 | Valeur: -12916
Date: 2026-05-04 14:37:42 | Valeur: -15097
Date: 2026-05-04 14:37:42 | Valeur: -11780
Date: 2026-05-04 14:37:42 | Valeur: -14263
Date: 2026-05-04 14:37:42 | Valeur: -11795
Date: 2026-05-04 14:37:42 | Valeur: -11174
Date: 2026-05-04 14:37:42 | Valeur: -10887
Date: 2026-05-04 14:37:42 | Valeur: -8847
Date: 2026-05-04 14:37:42 | Valeur: -11522
Date: 2026-05-04 14:37:42 | Valeur: -14011
Date: 2026-05-04 14:37:42 | Valeur: -14128
Date: 2026-05-04 14:37:42 | Valeur: -13036
Date: 2026-05-04 14:37:42 | Valeur: -14610
Date: 2026-05-04 14:37:42 | Valeur: -14483
Date: 2026-05-04 14:37:42 | Valeur: -14118
